#;$id;libellé SEDA;libellé anglais
;;application/vnd.Mobius.TXF;vnd.Mobius.TXF
;;application/vnd.mophun.application;vnd.mophun.application
;;application/vnd.mophun.certificate;vnd.mophun.certificate
;;application/vnd.motorola.flexsuite;vnd.motorola.flexsuite
;;application/vnd.motorola.flexsuite.adsi;vnd.motorola.flexsuite.adsi
;;application/vnd.motorola.flexsuite.fis;vnd.motorola.flexsuite.fis
;;application/vnd.motorola.flexsuite.gotap;vnd.motorola.flexsuite.gotap
;;application/vnd.motorola.flexsuite.kmr;vnd.motorola.flexsuite.kmr
;;application/vnd.motorola.flexsuite.ttc;vnd.motorola.flexsuite.ttc
;;application/vnd.motorola.flexsuite.wem;vnd.motorola.flexsuite.wem
;;application/vnd.motorola.iprm;vnd.motorola.iprm
;;application/vnd.mozilla.xul+xml;vnd.mozilla.xul+xml
;;application/vnd.ms-artgalry;vnd.ms-artgalry
;;application/vnd.ms-asf;vnd.ms-asf
;;application/vnd.ms-cab-compressed;vnd.ms-cab-compressed
;;application/vnd.mseq;vnd.mseq
;;application/vnd.ms-excel;vnd.ms-excel
;;application/vnd.ms-excel.addin.macroEnabled.12;vnd.ms-excel.addin.macroEnabled.12
;;application/vnd.ms-excel.sheet.binary.macroEnabled.12;vnd.ms-excel.sheet.binary.macroEnabled.12
;;application/vnd.ms-excel.sheet.macroEnabled.12;vnd.ms-excel.sheet.macroEnabled.12
;;application/vnd.ms-excel.template.macroEnabled.12;vnd.ms-excel.template.macroEnabled.12
;;application/vnd.ms-fontobject;vnd.ms-fontobject
;;application/vnd.ms-htmlhelp;vnd.ms-htmlhelp
;;application/vnd.ms-office.activeX+xml;vnd.ms-office.activeX+xml
;;application/vnd.ms-officetheme;vnd.ms-officetheme
;;application/vnd.ms-powerpoint.slide.macroEnabled.12;vnd.ms-powerpoint.slide.macroEnabled.12
;;application/vnd.ms-powerpoint.slideshow.macroEnabled.12;vnd.ms-powerpoint.slideshow.macroEnabled.12
